Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,RCOSC_50MHZ
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/l1tol2net/TileLinkEnqueuer_1_1/Queue_7_1/Primitives,79,145,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/l1tol2net/TileLinkEnqueuer_4/Queue_2_1/Primitives,12,193,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/l1tol2net/TileLinkEnqueuer_4/Queue_3_1/Primitives,82,151,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/l1tol2net/TileLinkEnqueuer_4/Queue_4/Primitives,4,77,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/l1tol2net/ackNet/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/l1tol2net/ackNet/arb/Primitives,10,2,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/l1tol2net/acqNet/Primitives,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/l1tol2net/acqNet/arb/Primitives,116,7,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/l1tol2net/gntNet/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/l1tol2net/gntNet/arb/Primitives,187,7,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/l1tol2net/relNet/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/l1tol2net/relNet/arb/Primitives,18,5,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/mmioManager/Primitives,39,11,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/debugBusReqFifo/Primitives,49,98,0,0,0,0,0,0,0,0,1,0,0,0
CORERISCV_AXI4_0/debugBusRespFifo/Primitives,14,84,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/debugTransportModuleJtag0/Primitives,204,96,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_0/USPI/Primitives,38,0,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_0/USPI/UCC/Primitives,157,120,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_0/USPI/UCC/UCLKMUX1/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_0/USPI/UCON/Primitives,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_0/USPI/URF/Primitives,60,35,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_0/USPI/URXF/Primitives,34,18,36,36,0,0,1,0,0,0,0,0,0,0
CORESPI_0/USPI/UTXF/Primitives,28,18,36,36,0,0,1,0,0,0,0,0,0,0
CORESPI_1/USPI/Primitives,36,0,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_1/USPI/UCC/Primitives,173,120,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_1/USPI/UCC/UCLKMUX1/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_1/USPI/UCON/Primitives,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_1/USPI/URF/Primitives,57,35,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_1/USPI/URXF/Primitives,19,19,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_1/USPI/UTXF/Primitives,20,19,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/masterstage_0/Primitives,50,53,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,4,1,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/slavestage_6/Primitives,71,1,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/slavestage_6/slave_arbiter/Primitives,35,5,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/slavestage_7/Primitives,43,1,0,0,0,0,0,0,0,0,0,0,0,0
